Comment,Type of Comment
"ساحر  
إذا كنت تتوق إلى تجربة فريدة، عليك بتجربة فندق بالاسيت. ستشعر كأنك تقيم في منزل رائع لأحد أصدقائك في لشبونة. يمكنك الإقامة في فندق جميل في أي مكان، ولكن أن تتمتع بتجربة خاصة مثل هذه التجربة فهذا لن تجده سوى في لشبونة. في ظل أن الفندق لا يحتوي إلا على عدد قليل من الغرف، ستشعر وكأنك تقيم وحدك في فندق بالاسيت. فخم وعتيق الطراز ومع ذلك فهو عصري وحديث من نواح أخرى، هذا ""الفندق"" جوهرة.",1
"هناك بعض الإحباطات ولكن الغرف كانت رائعة والموقع لا يمكن منافسته  
كانت هناك بعض التعقيدات المزعجة جدًا أثناء تسجيل الدخول مما جعل بداية الإقامة مزعجة جدًا. كان عليّ أن أدفع مبلغًا كبيرًا من المال نقدًا، وهو الأمر الذي كان شبه مستحيلًا بسبب القيود على سحب النقود من ماكينة الصراف الآلي في لشبونة. الاتصال مسبقًا إلخ كان مزعجًا. كانت الغرف أنيقة جدًا والموقع ممتاز. يمكن أن تكون خدمة أفضل بكثير. لم يعجبني إنه كان علينا شراء ورق المرحاض عندما نفد.",1
"ينصح به للغاية للسائحين من أصحاب الميزانيات المنخفضة.  
الموقع: رائع حيث يقع على بعد مسافة قصيرة من المعالم السياحية الرئيسية ومحطات وسائل النقل العام. الغرفة: حصلنا على غرفة مزدوجة بسعر منخفض توأم مع حمام نظيف وتلفزيون وشرفة صغيرة (حوالي 1 متر × 0.3 متر). الخدمة: خدمة غرف يومية، مكتب الاستقبال يعمل على مدار 24 ساعة طوال الأسبوع. الجانب الإيجابي: قيمة جيدة مقابل المال. الجانب السلبي: صاخب نوعًا ما في المساء",0
"لطيف للغاية...!  
-الموقع منقطع النظير-فريق العمل ودود للغاية ويتعامل مع المشاكل فورا -إفطار رائع-لاونج مع موسيقى تجعلك تريد البقاء هناك طوال اليوم-الشيء الوحيد السلبي هو تنظيف الغرف (ربما يرجع ذلك إلى حقيقة أننا كنا نستيقظ متأخرا)-!
الناس رائعة وستتمكن من رؤية لشبونة عبر توصياتهم الممتازة
",1
"فندق رائع جداً وأنصح به 
فندق فخم وحديث كبير جداً ومريح جداً تعامل الموظفين جيد جداً وخدماته ممتازه خصوصا النادي الصحي أنواع ألجأ كوزي والمساج وحمام السباحه ممتاز وكنت اسكن في الطابق ١٩ لكن العيب الوحيد فيه انه ليس في مركز المدينة وتحتاج تاكسي
",1
"فندق رائع! فريق عمل ودود وإفطار جيد  
ليس لديّ سوى الأشياء الجيدة فقط لأقولها عن أيه سي ليزبو. طاقم ودود جداً، معظمهم يتكلمون اللغة الإنجليزية جيداً. غرف لطيفة نظيفة وإفطار جيد جداً. الأمر السيئ الوحيد هو غرفتنا التي كانت رائحتها سيئة بالفعل، الرائحة السيئة جاءت من المجاري. لقد غيّرنا الغرفة وبهذا حُلت المشكلة. أيه سي ليزبو ليس في قلب المركز ولكن يمكنك الذهاب سيراً على الأقدام إلى مركز المدينة (روسيو) في حوالي 15 دقيقة. أو يمكنك أن تأخذ المترو إما من ماركيز بومبال (الخط الأزرق) أو بيكواس (الخط الأصفر) 5 دقائق سيراً على الأقدام. أحب لشبونة ولكن احترس من النشالين في أكثر الأماكن جذبا للسياح مثل بيليم والترام 28. (سُرقت محفظتي في بيليم في الترام 15 من دير جيرونيمو)",1
"أسوأ خدمة عملاء  
الفندق نفسه جميل. فيما عدا ذلك، ليس لديّ أي شيء لطيف يمكنني أن أقوله عن فريق العمل، باستثناء السيدة التي ساعدتني في تسجيل الدخول عندما وصلت في العاشر من أغسطس عام 2011. لقد كانت رائعة. هي فقط. في الثاني عشر من أغسطس عام 2011، قامت أمريكان إكسبريس بتجميد بطاقتي، وهو أمر معتاد إذا اشتبهوا في حدوث احتيال. مكالمة هاتفية واحدة كفيلة بحل المشكلة. لم تكن هذه لتكون مشكلة، إلا أن لويس فيليب في مكتب الاستقبال رفض أن يسمح لي باستخدام الهاتف. كانت هذه البطاقة التي استخدمتها لحجز غرفة الفندق، واستمر في الرفض. وذكر أنه يتعين عليّ استخدام هاتف الغرفة، التي ستكون لها تكلفة إضافية بالتأكيد على حساب الغرفة مقابل اتصال بسيط على رقم مجاني لتصحيح هذه المسألة. لقد استخدمت هواتف غرف الفنادق من قبل للاتصال بأرقام هواتف مجانية، وكانت التكلفة ذات قيمة فلكية. طلبت من لويس مقابلة المدير، فذكر أنه لا يوجد مدير في الخدمة. كررت طلبي باستخدام الهاتف لتصحيح هذه المسألة، ولكنه استمر في الرفض. وذكر إنها سياسة آنا برتغال وإيه سي بعدم السماح للزبائن باستخدام الهاتف إطلاقًا، ولا حتى لحل هذا النوع من المسائل لكي أدفع لهم. ذكر لويس أيضًا أن إيه سي هوتيل مستقل وليس له أي علاقة بفندق ماريوت. سأقوم بكتابة رسالة إلى كل من الفندقين ماريوت وإيه سي عند عودتي إلى الولايات المتحدة. هذا كلام فارغ!",-1
"فندق من فئة نجمة واحدة يصنف بأربعة ؟  
الفندق قديم جداً، الخدمة عند تسجيل الوصول مجهدة، حتى أن الناس لطفاء، لديهم الكثير من الناس/السياح لم يقوموا بإدارتهم بشكل صحيح. يحظى الفندق بمرآب للسيارات ضمن مساحة محدودة جداً ، ركن السيارة مقابل 15 يورو ، يمكنك أن تدفع لانترنيت واي فاي 7.3 يورو في اليوم، كما يتوفر لديهم إفطار بسيط وسهل. كانت غرفتي مزعجة جداً كونها إلى جانب المصعد في الطابق السادس, منظر جميل من مونيز بلازا، أداء السعر لم يكن جيداً بما فيه الكفاية. ربما سأغادر الفندق للحصول على خيار آخر في المرة القادمة",-1
"الفندق لطيف ولكن الطعام كان فظيعًا  
كان فندقًا جميلًا ونظيفًا. لا تتناول الطعام في الفندق، إنه مضيعة للمال، وهذا أسوأ مكان تناولت فيه طعامًا، فقد توقفنا عن تناول الطعام في الفندق وكنا نأكل في المدينة بنصف السعر وليس في الفندق. لكننا جعلنا الفندق يرد لنا الأموال التي دفعناها للطعام مقدمًا. إذا أوصاك أحد المرشدين السياحيين بالذهاب إلى أحد المطاعم فلا تتبعه، لأنهم يأخذون منك ضعف السعر لأنهم يأكلون هناك مجانًا والمطعم يُحضر السياح ليستغلهم. أحضرنا أحد المرشدين السياحيين إلى مطعم، وطلبنا طعامًا وعندما جاؤوا بالفاتورة وجدنا أنهم قد احتسبوا لفافتين بـ 8 يورو وزبدة، ونحن لم نطلبها لكنهم قدموها مع الوجبة. تحقق دائمًا من أسعار المشروبات وإلا فسوف يحتسبون عليك ضعف السعر.",0
"عطلة جيدة، ولكنه فندق 3 نجوم وليس 4 نجوم!!!  
عدنا للتو من كلوب هامبريا مع طفلينا بأعمار 9 و11 سنة، وكان هناك أصدقاء معنا مع أولادهم بأعمار 7 و12 سنة. لقد استمتعنا بمنتجع عطلتنا الجميل. بعض المقاهي الصغيرة والبارات على بعد مسافة قصيرة سيرًا على الأقدام، وتوجد عدة متاجر على الشاطئ الذي يتميز بالجمال. الطعام لم يكن رائعًا، والخيارات محدودة جدًا. طبقان رئيسيان كل ليلة وكانا على مستوى شنيع، ورقائق البطاطس والمكرونة والسلطات والحلويات كانت رديئة!!!!! لقد قمنا بعطلات شاملة كل شيء في السنوات القليلة الماضية، وهذه العطلة لم تكن جيدة فعلًا!!! المشروبات في المطعم بنظام الخدمة الذاتية، ولكن بار الوجبات الخفيفة أثناء النهار تكون عليه طوابير، طوابير، طوابير. هناك شخص واحد يعمل وهو يحاول تقديم المشروبات والطعام. ومرة أخرى في المساء عندما تذهب إلى الترفيه الليلي، تكون هناك طوابير للمشروبات، ولا توجد مقاعد كافية بالنسبة لعدد الغرف في المجمع!! في الحقيقة ذهبنا إلى سوبر ماركت لجلب النبيذ والبيرة، وبقينا في الغرفة بضع ليال. نادي الأطفال مروع لم يقدموا ما قالوا عليه في النشرات الأسبوعية. يبدو إنهم قاموا فقط بتقديم أوراق للتلوين إلى جميع الأطفال!! يمكن أن يكون مستوى التنظيف أفضل من ذلك. الحمام لم يتم تنظيفه بشكل صحيح ولا المطبخ - والأسرّة غير مريحة على الإطلاق! شيء واحد يجب أن أثني على هذا الفندق بخصوصه هو أحد أعضاء فريق العمل ""برونو""، كان رائعًا للغاية ومتعاون جدًا. ترك ابني حقيبة تحتوي على جهاز البلاي ستيشن المحمول، والآي بود، والمال وكل شيء. اعتقدنا أننا لن نراها مرة أخرى. ولكن برونو اتصل بهم مباشرة، وقالوا إنه تم العثور عليها. ولكن مرت 4 أيام ولم تتم إعادتها إلينا بعد، فقام برونو بالفعل بإرسال شخص من الفندق إلى المطار لاستلامها!! كنا سعداء للغاية. لقد أحببت البرتغال والمنتجع ولكننا لن نقيم هنا مرة أخرى !!!!",0
"فندق رائع  
عدنا للتو من إقامة لمدة ثمانية أيام في كلوب أوشينو. كنا على بعد دقيتين سيرًا من الشاطئ، وعشر دقائق من البلدة القديمة ومن القطاع.
الشقة كانت تنظف يوميًا (ما عدا يوم الأحد) والمناشف كانت تتغير كل يوم.
حانات جميلة بجوار الفندق.
يوجد مطعم رائع على بُعد دقيقتين من الفندق الضبط .
تري بالميراس
الأفضل على الإطلاق وغير مكلف.
سوف نعود.
",1
"طعام رديء  
هذا الفندق تحتاج إلى تغيير في الإدارة حيث إن الطعام في غاية السوء لدرجة أن بعض الموظفين لم يكونوا يتناولون طعامهم في الفندق ونتيجة لذلك بالإضافة إلى عدم وجود أي ترفيه فإنني بالتأكيد لن أعود إلى هذا الفندق مرة أخرى.
",-1
"فندق رائع وموقع رائع.  
أقمنا في هذا الفندق الجميل في الفترة من 23 إلى 30 سبتمبر، ولآننا كنا أخر زوجان يحضران إلى هناك فقد حصلنا على الغرفة رقم 74 وتوقعنا أن تكون لهذه الغرفة مجرد شرفة ولكن بعد أن قيل لنا ذلك وجدنا أنفسنا نحصل على شرفتنا الصغيرة الخاصة على السطح ومعها آرائك / وطاولة وكراسي وأريكة هزازة جميلة. شعرنا بسعادة غامرة لوجودنا في الغرفة رقم 74 وبباب الدش الذي يجب أن يتعامل معه المرء برقة شديدة وإن كان من السهل جدًا إصلاحه إذا خرج الباب عن القضبان التي يسير فيها، وكانت الغرفة هي أنظف غرفة أقمت فيها طوال حياتي كما كانت خدمة الخادمة عند أفضل مستوى. كانت تقوم يوميًا بتغيير المناشف، وإفراغ سلة المهملات، وترتيب الأسرة. والفندق لا يبتعد عن الشاطئ سوى 5 دقائق فقط وربما من 3 إلى 5 دقائق أخرى أيضًا للنزول إلى الأسفل. غير أن العودة والصعود تكون مسألة متعبة ولكن هذا الجانب السلبي ليس إلا أمرًا بسيطًا مقارنة بالاستمتاع الذي حظينا به في هذا الفندق الجميل. وبالإضافة إلى ذلك يحظى المرء بترحيب من الدرجة الأولى من مكتب الاستقبال في الفندق ولكن عليك أن تنتبه عندما توضح لك موظفو الاستقبال طريقة وضع المفتاح لتفتح باب الغرفة رقم 74 حيث إنها مسألة تتطلب مهارة خاصة",1
"مكان رائع ولطيف  
ذهبت الى هناك في نهاية اغسطس وبداية سبتمبر وقد قضيت وقتا رائعا، حيث أن الشقة نظيفة جدا والموظفين متعاونون جدا كما أن الفندق هادئ ومريح، وهذا ما أردناه، وقد استمتعت كثيرا، ثم حجزت في مايو هذا العام مع جميع العائلة (12 شخص) ومرة أخرى في سبتمبر فقط نحن الاثنين، وأوصي بـ Vale de Carros لإجازة نهاية الأسبوع، نراكم قريبا XX
",1
"قليل من حالات الفواق ولكننا نخطط للعودة مرة أخرى!  
عدت للتو من قرية ""باتيو"". الشقق رائقة، وبخاصة تلك التي انتقلنا إليها بعد أن حاول شخص السطو على جيراننا! كانت الشقق هادئة في الحقيقة حتى قدوم مجموعة من 40 رجلاً مخمورًا وإقامة حفلة خاصة بهم بالإضافة إلى قدوم فئة من المراهقين البرتغاليين لقضاء عطلة نهاية الأسبوع. وما كان منا إلا أن ذهبنا إلى الشاطئ في تلك الأيام! إذا كنت مسافرًا مع طفل لم يتعود المشي بعد أو مع أطفال صغار، فإنني أوصيك بأن تصر على أن تحصل على شرفة نظرًا لأننا حصلنا على تراس في الأصل، وهو ما يمكن أن يكون مصدرًا للقلق لأن حمام السباحة في الخارج مباشرة. وكذلك هناك تل شديد الانحدار يمتد إلى أدنى البلدة القديمة، ولذلك أنصحك بأن تستقل سيارة أجرة في العودة، بنحو 4 يورو. ويجب أن تتناول الطعام في ""ماما ميا"" القريب من الشقق.",0
"قيمة مقابل المال  
قيمة جيدة مقابل المال. لم يكن فريق العمل ودودًا للغاية ولكنه قام بما فيه الكفاية ليكون مهذبًا. تحتاج إلى مسافة سير طويلة حتى تصل إلى المدينة أسفل التل وبذلك تكون رحلة العودة أكثر صعوبة! القطاع مثل بلاكبول يتميز بجوه الحار الذي لا يستحق هذا الجهد بالفعل. هناك مقهى صغير لطيف في الجوار يسمى بيتزا بيروني. الطعام المحلي بأسعار معقولة، واطلب أنجيلا التي تجيد اللغة الإنجليزية. أيضًا هناك مطعم ليم الذي يقدم تشكيلة جيدة من المأكولات البحرية وشرائح اللحم. إلخ. في المجمل، المكان هو قاعدة مناسبة للإقامة والقيام ببعض الجولات الاستكشافية",0
"""رهيب""  
هذا الفندق لم يشهد أي طبقة من الطلاء أو أي تحديث منذ أن تم افتتاحه، والحمام به بقع من الأتربة على الأرض في كل مكان بالحمام والحوض، وستارة الدش، والمناشف، ومفارش السرير بها ثقوب وأيضًا بقع على الأرض، عمال التنظيف حضروا معظم الأيام لكن لا يوجد دليل على التنظيف في أي مكان، والمناشف تم تغييرها مرة واحدة فقط. الضوضاء كانت مشكلة كبرى، والجدران رقيقة جدًا، ويمكن سماع كل شيء بداية من حركة المرور المتواصلة إلى غرف الجيران وهم يمشون على البلاط وصولًا إلى أصوات الموسيقى، والطريقة الوحيدة التي يمكنك النوم بها هي تكون مخمورًا!! لا توجد غلاية، وأنفقنا مبلغًا كبيرة على هذا الفندق لأننا لم نتحمل الإقامة أو تناول الطعام فيه، ولا ننصح به لأولئك الذين يهتمون بالنظافة على وجه الخصوص. منطقة حمام السباحة محتملة، والمستوى لا بأس به. رخيص وبسيط ويمكن أن يناسب متطلبات الشباب الذين يحتاجون الفندق فقط للنوم.",-1
"العائلات عليكم توخي الحذر  
إذا كان ستسافر مع عائلتك لا تذهب إلى هناك. لقد حذرناك. حجزنا 9 عائلات في 9 فيلات بكل واحدة غرفتي نوم من 4 إلى 21 تموز/يوليو ولكنهم وضعوا في الغرف المجاورة مجموعات ممن ينظمون حفلات مخصصة للرجال فقط بالإضافة إلى الشباب المحبين للحفلات الصاخبة مما أدى إلى قضاءنا العديد من الليالي بلا نوم. الحاضرون للحفلات المخصصة للرجال فقط وجميعهم كانوا بريطانيين كان سلوكهم بذيئًا حيث كان الرجال يقذفون بالطاولات والمقاعد في حمام السباحة خلال النهار ويكشفون عن عوراتهم للنساء والأطفال حول حمام السباحة بصورة دورية وكان أبشع المذنبين من بينهم رجل ويلزي في الستينات من عمره يقوم بفعلته من منصة القفز في حمام السباحة. لم يكن لأي قدر من الشكاوي للموظفين أو للأمن أدنى تأثير حيث كان الرد المعتاد هو أنهم سيغادرون بأسرع ما يمكن. وكان من الواضح أن الحفلات المخصصة للرجال فقط يتم فيها إنفاق الكثير من المال في البار ولذلك كانت لهذه الحفلات الأولوية. كان المنتجع بجوار ""مضيق"" ألبوفيرياس الذي يستحيل أن تسير فيه بدون أن يعرض عليك جميع أنواع المخدرات حتى عندما تسير ويدك في يد أطفال صغار. الشباب المراهقين الذين تتراوح أعمارهم بين 13 و18 سنة كانوا يتعرضون دائمًا للمضايقة لشراء المخدرات بينما وجود الشرطة كان ملحوظًا بالكاد. وأخطر منطقة هي تلك القريبة من فندق مونتيشيرو حيث جرى قتل 3 أشخاص منذ كانون الثاني/يناير، لا تقترب من هناك إذا جئت إلى هنا. إذا كنت ستذهب فتأكد من الحصول على مكان إقامة بعي عن المنتجع والمناطق التي ذكرتها. المدينة القديمة جميلة وسيكون من الرائع أن أكون فيها إذا ذهبت مرة أخرى إلى البرتغال (وهذا أمر غير محتمل) سأقيم هنا بدون شك مع عائلتي. إنه ليس رخيصًا فالأسعار في البرتغال هي نفس الأسعار الموجودة في المملكة المتحدة إن لم تكن أغلى",-1
"قيمة ممتازة للمال! لا يمكنني أن أفهم التقييمات السيئة.  
عطلتنا كانت رائعة. الفندق كان نظيفاً وبسيطاً. الأسرة كانت صلبة ولم أنم جيدا في الليلة الأولى لكن تم حل المشكلة بوضع مرتبة على الأرض - كان النوم مريحا للغاية بعد ذلك! يقع بالقرب من اللسان البحري وقريب جداً لأماكن التسوق . مسافة بعيدة بعض الشيء عن الشاطيء لكن التاكسي الرخيص حل هذه المشكلة - 3.90€ يورو فقط!!!! خدمة نقل مجانية إلى المدينة القديمة/الشاطيء في العاشرة والنصف والثانية مساءا يوميا -رائع! فريق عمل الفندق متعاون بشكل مذهل ويتحدث الإنجليزية بامتياز. المصاعد قديمة نوعا ما واستغرقت وقتا طويلا عند النزول لكنها متوفرة دائماً عند الصعود. الوجبات في الفندق رخيصة وشهية للغاية - أنصح بشدة بالبيكون والمشروم وبطاطس مايو جاكيت :-) غرفة ألعاب جيدة - ستدفع 1€ لكل جيم بلياردو أو إير هوكي إلخ. مدى وقيمة المرافق جيدة للغاية - ملعب تنس، مكتبة، كرسي مساج (رائع مقابل 2€ لكل 15 دقيقة)، معلومات كثيرة للسياح في مكتب الاستقبال. عطلة جيدة جداً في المجمل للأشخاص ذوي الميزانية القليلة:-)",1
"جيد بشكل مذهل!  
لقد ذهبنا في أسبوع عطلة عائلية لهذه الشقق، و التي كنت قلقاً جداً عندما قرأت التعليقات السيئة عنها. نحن لا نصدق أنه عندما دخلنا شقتنا، وجدنا أنها طابقين وبها حمامان و 3 شرفات (إثنان منهم يطلوا على منظر البحر). كانت نظيفة مرتبة، ملائمة جدا للعائلة (اطفالنا كانوا في عمر 12، 14). مناطق الاستقبال والبار وحمام السباحة كانت رائعة، في كل مكان كنا نحظى بالترحيب الحار، نظيفة. الملاك و طاقم العمل كانوا ودودين جداً، الطعام و المشروبات كانت رخيصة جداً. خدمة البار التي في الجوار كانت رائعة، طعام بأسعار معقولة، في الحقيقة أفضل من المطعم. لن نتردد في ان نأتي هنا مجدداً، كنت أريد أن أؤكد على الناس أنه ليس تماماً مثل ما يتم تصويره في هذه التعليقات.",1
